,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,1400,1900,310,1800,920,1200,450,1000,900,670,1700,1100
1,1400,0,510,1600,1200,1200,1700,1800,1200,1100,2000,1900,2300
2,1900,510,0,1200,740,760,1300,700,790,700,1600,1500,1800
3,310,1600,1200,0,420,460,660,300,830,730,430,1200,630
4,1800,1200,740,420,0,350,960,370,720,590,690,1200,930
5,920,1200,760,460,350,0,900,420,400,280,770,680,1000
6,1200,1700,1300,660,960,900,0,450,790,690,330,800,600
7,450,1800,700,300,370,420,450,0,800,700,300,940,530
8,1000,1200,790,830,720,400,790,800,0,110,1100,1600,1600
9,900,1100,700,730,590,280,690,700,110,0,980,1500,1500
10,670,2000,1600,430,690,770,330,300,1100,980,0,1800,790
11,1700,1900,1500,1200,1200,680,800,940,1600,1500,1800,0,1500
12,1100,2300,1800,630,930,1000,600,530,1600,790,790,1500,0
