,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,300,20,910,300,650,160,490,390,390,790,950,1300
1,300,0,240,440,570,680,230,750,210,660,1100,850,1100
2,20,240,0,770,330,680,130,520,360,420,820,880,1200
3,910,440,770,0,300,650,160,490,390,390,790,850,1300
4,300,570,330,300,0,350,920,190,1200,90,490,1100,2000
5,650,680,680,650,350,0,560,420,790,320,130,760,1600
6,160,230,130,160,920,560,0,640,340,550,950,1000,1200
7,490,750,520,490,190,420,640,0,990,500,310,940,1800
8,390,210,360,390,1200,790,340,990,0,920,1300,700,940
9,390,660,420,390,90,320,550,500,920,0,260,900,1200
10,790,1100,820,790,490,130,950,310,1300,260,0,1300,1600
11,950,850,880,850,1100,760,1000,940,700,900,1300,0,950
12,1300,1100,1200,1300,2000,1600,1200,1800,940,1200,1600,950,0
